iter	Passed	Remaining
322	4297	2355
323	4310	2341
324	4323	2327
325	4335	2314
326	4348	2300
327	4361	2287
328	4374	2273
329	4388	2260
330	4401	2247
331	4414	2233
332	4427	2220
333	4440	2207
334	4453	2193
335	4466	2180
336	4479	2166
337	4493	2153
338	4521	2147
339	4533	2133
340	4546	2120
341	4559	2106
342	4572	2093
343	4586	2079
344	4599	2066
345	4613	2053
346	4625	2039
347	4638	2026
348	4651	2012
349	4666	2000
350	4679	1986
351	4692	1973
352	4708	1960
353	4721	1947
354	4734	1933
355	4747	1920
356	4761	1907
357	4773	1893
358	4786	1880
359	4799	1866
360	4812	1852
361	4825	1839
362	4838	1825
363	4850	1812
364	4863	1798
365	4876	1785
366	4889	1771
367	4902	1758
368	4916	1745
369	4932	1732
370	4946	1719
371	4960	1706
372	4976	1694
373	4990	1681
374	5004	1668
375	5019	1655
376	5033	1642
377	5048	1629
378	5063	1616
379	5077	1603
380	5092	1590
381	5106	1577
382	5120	1564
383	5133	1550
384	5145	1537
385	5158	1523
386	5170	1509
387	5185	1496
388	5197	1483
389	5210	1469
390	5223	1456
391	5237	1442
392	5249	1429
393	5262	1415
394	5275	1402
395	5288	1388
396	5302	1375
397	5315	1362
398	5329	1349
399	5342	1335
400	5355	1322
401	5368	1308
402	5380	1295
403	5393	1281
404	5406	1268
405	5419	1254
406	5432	1241
